        1 -     11 overlaps -     11 scored -      0 filtered -   11 saved (no filtering)
        2 -      2 overlaps -      2 scored -      0 filtered -    2 saved (no filtering)
        3 -      4 overlaps -      4 scored -      0 filtered -    4 saved (no filtering)
        4 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
        5 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
        7 -      8 overlaps -      8 scored -      0 filtered -    8 saved (no filtering)
        8 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
        9 -      5 overlaps -      5 scored -      0 filtered -    5 saved (no filtering)
       10 -      4 overlaps -      4 scored -      0 filtered -    4 saved (no filtering)
       11 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
       12 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
       13 -      7 overlaps -      7 scored -      0 filtered -    7 saved (no filtering)
       14 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
       15 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
       16 -      8 overlaps -      8 scored -      0 filtered -    8 saved (no filtering)
       17 -      2 overlaps -      2 scored -      0 filtered -    2 saved (no filtering)
       18 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
       19 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
       20 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
       21 -      2 overlaps -      2 scored -      0 filtered -    2 saved (no filtering)
       22 -      6 overlaps -      6 scored -      0 filtered -    6 saved (no filtering)
       23 -      2 overlaps -      2 scored -      0 filtered -    2 saved (no filtering)
       24 -      3 overlaps -      3 scored -      0 filtered -    3 saved (no filtering)
       25 -      2 overlaps -      2 scored -      0 filtered -    2 saved (no filtering)
       26 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
       27 -      1 overlaps -      1 scored -      0 filtered -    1 saved (no filtering)
